Date,max_t,min_t,rain
2015-01-01,23.2,16.3,0.0
2015-01-02,36.2,21.0,0.0
2015-01-03,30.5,16.8,0.0
2015-01-04,29.1,20.3,0.0
2015-01-05,31.2,20.8,0.0
2015-01-06,30.9,20.5,0.0
2015-01-07,31.6,16.2,0.0
2015-01-08,33.1,17.7,0.0
2015-01-09,32.0,20.0,0.0
2015-01-10,31.6,18.5,0.0
2015-01-11,27.8,19.4,3.7
2015-01-12,33.5,18.7,0.0
2015-01-13,28.8,16.1,0.0
2015-01-14,29.1,21.8,0.0
2015-01-15,27.8,20.5,4.5
2015-01-16,25.5,20.1,0.0
2015-01-17,31.6,20.2,0.0
2015-01-18,29.8,19.4,0.0
2015-01-19,37.6,16.9,0.0
2015-01-20,29.6,16.3,0.0
2015-01-21,35.1,18.7,5.3
2015-01-22,28.8,15.5,0.0
2015-01-23,35.1,21.1,0.0
2015-01-24,27.3,21.7,0.0
2015-01-25,32.9,20.6,0.0
2015-01-26,36.2,22.7,0.0
2015-01-27,35.6,22.7,0.0
2015-01-28,38.8,20.5,0.0
2015-01-29,29.5,20.1,0.0
2015-01-30,29.9,19.2,8.1
2015-01-31,32.2,18.3,0.0
2015-02-01,26.9,17.1,4.8
2015-02-02,31.9,19.4,11.1
2015-02-03,26.4,16.8,0.0
2015-02-04,29.8,15.9,0.0
2015-02-05,31.0,20.3,0.0
2015-02-06,31.8,18.5,0.0
2015-02-07,25.7,15.0,0.0
2015-02-08,29.8,19.4,4.6
2015-02-09,29.8,15.2,0.0
2015-02-10,32.1,16.4,0.0
2015-02-11,25.3,21.5,0.0
2015-02-12,28.8,15.8,0.0
2015-02-13,30.3,18.7,0.0
2015-02-14,32.1,16.5,0.0
2015-02-15,27.9,22.0,0.0
2015-02-16,27.7,19.2,6.1
2015-02-17,29.6,19.8,0.0
2015-02-18,26.2,17.7,0.0
2015-02-19,26.8,19.3,0.0
2015-02-20,29.2,19.2,0.0
2015-02-21,27.5,21.2,0.0
2015-02-22,22.6,16.7,2.3
2015-02-23,28.3,17.2,0.0
2015-02-24,28.5,15.9,7.2
2015-02-25,27.8,18.6,0.0
2015-02-26,28.1,12.1,0.0
2015-02-27,25.3,17.8,0.0
2015-02-28,32.5,14.6,0.0
2015-03-01,35.4,20.5,0.0
2015-03-02,31.9,22.8,4.8
2015-03-03,35.5,21.3,10.0
2015-03-04,39.5,21.7,0.0
2015-03-05,31.4,21.6,0.0
2015-03-06,32.5,21.6,0.0
2015-03-07,23.3,18.9,0.0
2015-03-08,25.4,17.8,0.0
2015-03-09,24.6,19.1,0.0
2015-03-10,30.5,17.6,0.0
2015-03-11,30.3,15.1,0.0
2015-03-12,29.9,15.7,0.0
2015-03-13,29.3,14.9,0.0
2015-03-14,29.5,21.5,0.0
2015-03-15,28.1,17.7,0.0
2015-03-16,29.3,18.0,0.0
2015-03-17,28.3,19.1,0.0
2015-03-18,23.3,15.3,0.0
2015-03-19,32.9,15.2,0.0
2015-03-20,34.7,21.3,0.0
2015-03-21,27.0,16.9,0.0
2015-03-22,24.0,17.9,3.8
2015-03-23,24.7,16.3,0.0
