Date,max_t,min_t,rain
2015-01-01,32.2,25.3,0.0
2015-01-02,33.9,19.6,1.3
2015-01-03,32.6,19.6,0.0
2015-01-04,35.7,19.5,0.0
2015-01-05,27.7,21.5,0.0
2015-01-06,32.7,19.6,0.0
2015-01-07,25.4,18.4,0.0
2015-01-08,28.6,18.7,0.0
2015-01-09,31.0,19.6,0.0
2015-01-10,29.5,22.6,0.0
2015-01-11,29.2,21.8,0.0
2015-01-12,29.4,21.0,0.0
2015-01-13,28.1,18.0,0.0
2015-01-14,31.5,18.0,0.0
2015-01-15,33.7,19.9,0.0
2015-01-16,35.4,23.0,0.0
2015-01-17,37.9,23.1,0.0
2015-01-18,36.2,17.8,0.0
2015-01-19,26.2,23.7,1.4
2015-01-20,30.8,23.1,0.0
2015-01-21,29.3,20.8,0.0
2015-01-22,31.5,22.3,0.0
2015-01-23,33.1,21.9,0.0
2015-01-24,31.1,22.0,0.0
2015-01-25,34.7,21.8,0.0
2015-01-26,37.0,18.4,0.0
2015-01-27,30.0,22.1,9.4
2015-01-28,28.5,18.9,0.0
2015-01-29,29.0,18.4,0.0
2015-01-30,27.7,22.2,0.0
2015-01-31,35.1,19.9,0.0
2015-02-01,28.6,22.5,0.0
2015-02-02,28.8,21.1,1.1
2015-02-03,29.3,22.2,0.0
2015-02-04,27.6,21.5,0.0
2015-02-05,34.4,19.8,15.4
2015-02-06,23.6,22.4,0.0
2015-02-07,30.9,20.4,0.0
2015-02-08,35.5,21.4,0.0
2015-02-09,29.5,18.0,0.0
2015-02-10,27.5,22.0,0.0
2015-02-11,33.5,21.1,0.0
2015-02-12,34.4,19.6,0.0
2015-02-13,30.9,16.8,0.0
2015-02-14,27.8,18.1,1.5
2015-02-15,31.2,18.7,0.0
2015-02-16,33.4,21.9,0.0
2015-02-17,31.9,21.8,0.0
2015-02-18,25.9,20.0,4.4
2015-02-19,29.1,19.0,0.0
2015-02-20,28.0,18.4,0.0
2015-02-21,31.3,17.9,0.0
2015-02-22,26.7,18.5,11.3
2015-02-23,28.7,19.2,0.0
2015-02-24,31.5,17.8,0.0
2015-02-25,32.7,18.8,0.0
2015-02-26,33.5,18.0,0.0
2015-02-27,30.0,19.6,0.0
2015-02-28,35.9,17.0,0.0
2015-03-01,31.4,20.9,1.2
