Feature,Importance,Coefficient
RH_at_Min_Temp_pct_mean@w0,5.122622,4.0616746
RH_at_Min_Temp_pct_mean@w1,4.43552,2.845873
Vapour_Pressure_hPa_max@w3,4.2198014,-4.2198014
Min_Temp_C_min@w7,3.7527537,2.6371107
Vapour_Pressure_hPa_max@w2,3.7506666,-3.7506666
RH_at_Max_Temp_pct_min@w3,3.7169836,-1.4817744
Vapour_Pressure_hPa_max@w1,3.4099896,-3.0658526
Vapour_Pressure_hPa_max@w4,3.3972578,-3.3912191
RH_at_Max_Temp_pct_min@w0,3.2963517,-1.8826287
RH_at_Min_Temp_pct_mean@w2,3.2318811,1.0441447
RH_at_Max_Temp_pct_min@w7,3.206877,-0.27678043
RH_at_Max_Temp_pct_min@w2,3.0872111,-0.23969793
Temp_Range_max@w5,3.0546782,1.1184621
RH_at_Max_Temp_pct_min@w5,2.991548,-1.9193395
Vapour_Pressure_hPa_min@w2,2.9304376,-2.1808543
RH_at_Max_Temp_pct_min@w4,2.9269495,-0.7230962
Min_Temp_C_min@w6,2.8888564,2.0892773
Temp_Range_max@w0,2.7492065,-2.7492065
RH_at_Min_Temp_pct_mean@w4,2.7209935,-0.018078089
Evaporation_mm_sum@w7,2.7073483,-0.79974496
RH_at_Max_Temp_pct_min@w6,2.6616576,-1.7437348
Min_Temp_C_mean@w3,2.6586804,2.6586804
Bad_days_count@w1,2.636591,0.75091654
Vapour_Pressure_hPa_min@w1,2.6326697,-1.2366294
Vapour_Pressure_hPa_min@w0,2.6202521,-1.9891378
RH_at_Min_Temp_pct_max@w0,2.5984955,1.8482676
Max_Temp_C_std@w7,2.5980334,-2.332612
is_bad_air_week@w0,2.583767,-2.3039021
Min_Temp_C_std@w3,2.579654,1.8621664
Max_Temp_C_std@w2,2.5370476,0.034804404
Bad_days_count@w3,2.4861357,2.0544584
Max_Temp_C_max@w0,2.462105,-2.046932
Min_Temp_C_std@w7,2.4579642,2.4579642
Vapour_Pressure_hPa_min@w6,2.4416127,-0.08674884
Radiation_MJ_m2_sum@w0,2.4413388,-2.3686411
Radiation_MJ_m2_mean@w0,2.4413228,-2.3686728
Min_Temp_C_mean@w2,2.416284,2.416284
RH_at_Min_Temp_pct_max@w7,2.406135,0.24851036
Max_Temp_C_std@w3,2.397772,-0.6893724
is_bad_air_week@w1,2.3971312,-1.2661462
is_bad_air_week_lag_1@w0,2.3970635,-1.2660997
Bad_days_count@w2,2.3945155,1.2824401
Min_Temp_C_std@w5,2.3807287,1.7373307
Evaporation_mm_sum@w6,2.3744745,-1.7637559
Evaporation_mm_mean@w6,2.3744729,-1.7637544
Temp_Range_mean@w5,2.3719306,0.5189563
Vapour_Pressure_hPa_min@w7,2.3469062,0.09232001
Rainfall_mm_sum@w6,2.338803,-0.011880651
RH_at_Min_Temp_pct_mean@w3,2.3127651,-0.526678
is_bad_air_week_lag_4@w7,2.3032088,2.3032088
Radiation_MJ_m2_mean@w2,2.2935524,-1.0701066
Radiation_MJ_m2_sum@w2,2.2935483,-1.070093
Max_Temp_C_std@w4,2.2926579,-1.8460773
Evaporation_mm_mean@w0,2.292291,2.292291
Evaporation_mm_sum@w0,2.2922907,2.2922907
Max_Temp_C_mean@w4,2.2838328,2.2838328
Max_Temp_C_std@w1,2.2641134,-0.5240139
Max_Temp_C_std@w0,2.2536986,1.1249733
Temp_Range_mean@w3,2.2456484,-1.2624009
RH_at_Max_Temp_pct_min@w1,2.2198727,0.71227276
Vapour_Pressure_hPa_min@w5,2.218636,0.9765221
RH_at_Max_Temp_pct_mean@w3,2.2161574,0.34852773
Temp_Range_max@w2,2.2084482,0.24926835
Min_Temp_C_std@w4,2.2023985,1.6706969
Min_Temp_C_mean@w4,2.1895728,2.1895728
Vapour_Pressure_hPa_max@w6,2.1656675,-0.29911274
Bad_days_count@w0,2.1627476,-0.7727333
Max_Temp_C_max@w6,2.118367,-1.0101981
Rainfall_mm_sum@w1,2.1152427,-0.63666326
RH_at_Min_Temp_pct_max@w5,2.0883832,1.1920851
Min_Temp_C_mean@w1,2.0836606,1.6881803
RH_at_Max_Temp_pct_mean@w7,2.0550976,0.3011037
RH_at_Max_Temp_pct_mean@w5,2.053168,1.7805338
Radiation_MJ_m2_sum@w7,2.0456553,-0.14416039
RH_at_Max_Temp_pct_mean@w1,2.031887,-0.49858713
Min_Temp_C_mean@w7,2.03012,2.03012
Rainfall_mm_sum@w0,2.0300722,-1.7492824
Rainfall_mm_rainy_days@w7,2.0274537,-1.8123107
Evaporation_mm_mean@w7,2.023194,-0.32602373
RH_at_Max_Temp_pct_mean@w0,2.018015,-0.5756701
Max_Temp_C_max@w1,2.0098794,-0.99096686
Vapour_Pressure_hPa_max@w0,1.9925258,-0.9053577
Vapour_Pressure_hPa_max@w5,1.9831964,-1.9831964
Temp_Range_mean@w4,1.9598428,0.9613812
